depth,cali,gr,density,nphi,res,sonic
5596.5,9.8225,107.9227,2.3735,0.4577,-999.25,107.6933
5597,9.7315,105.881,2.3788,0.4611,-999.25,107.9861
5597.5,9.677,102.5162,2.3818,0.4828,-999.25,109.869
5598,9.6332,103.3265,2.3727,0.4978,-999.25,111.1653
5598.5,9.5326,107.2082,2.3642,0.483,-999.25,109.8848
5599,9.5344,104.0356,2.3759,0.4756,-999.25,109.2437
5599.5,9.5342,101.2638,2.3788,0.4778,-999.25,109.4288
5600,9.5327,100.6368,2.3878,0.4663,-999.25,108.4326
5600.5,9.6028,100.83,2.3854,0.4415,-999.25,106.292
5601,9.7314,98.2063,2.374,0.4435,-999.25,106.458
5601.5,9.7305,100.8739,2.3747,0.4473,-999.25,106.7871
5602,9.6526,99.5449,2.3509,0.4668,-999.25,108.4757
5602.5,9.6854,94.5625,2.328,0.51,-999.25,112.2196
5603,9.8178,98.8744,2.3426,0.5061,-999.25,111.8791
5603.5,9.7215,103.8063,2.3477,0.4875,-999.25,110.2744
5604,9.531,107.3769,2.3494,0.473,-999.25,109.0122
5604.5,9.5346,107.1288,2.3581,0.469,-999.25,108.6727
5605,9.5342,105.7545,2.364,0.4397,-999.25,106.1297
5605.5,9.5325,105.0613,2.3614,0.4058,-999.25,103.1997
5606,9.6327,103.2469,2.3564,0.3973,-999.25,102.4598
5606.5,9.3344,104.2405,2.3482,0.4069,-999.25,103.2957
5607,9.3381,101.6306,2.3415,0.431,-999.25,105.3764
5607.5,8.9442,103.4769,2.3472,0.4548,-999.25,107.4435
5608,8.95,107.6515,2.351,0.4539,-999.25,107.359
5608.5,8.9146,107.5579,2.3541,0.4616,-999.25,108.0332
5609,8.8843,105.5809,2.3558,0.4683,-999.25,108.6062
5609.5,8.8502,97.2307,2.3463,0.4613,-999.25,108.0011
5610,8.8123,100.157,2.2975,0.4536,-999.25,107.3344
5610.5,8.7538,98.1114,2.2096,0.43,-999.25,105.2941
5611,8.7219,83.8891,2.1335,0.4093,-999.25,103.5033
5611.5,8.7549,77.0016,2.1015,0.3909,-999.25,101.903
5612,8.7532,73.0107,2.0856,0.3794,-999.25,100.9086
5612.5,8.734,65.0438,2.0686,0.3672,-999.25,99.8513
5613,8.654,62.0519,2.0523,0.3542,-999.25,98.7316
5613.5,8.6558,63.2131,2.0313,0.342,-999.25,97.6679
5614,8.6558,62.3242,2.0156,0.3353,-999.25,97.0944
5614.5,8.6558,60.4648,2.0071,0.3317,-999.25,96.7781
5615,8.6558,59.4534,2.0083,0.3236,-999.25,96.0758
5615.5,8.6558,58.3394,2.0269,0.3132,-999.25,95.1733
5616,8.6558,56.6301,2.0427,0.3096,-999.25,94.8639
5616.5,8.6558,58.4389,2.0738,0.3129,-999.25,95.1546
5617,8.6558,56.7971,2.1333,0.3064,-999.25,94.5848
5617.5,8.654,57.6906,2.1596,0.3177,-999.25,95.5673
5618,8.7551,67.606,2.2081,0.3366,-999.25,97.2059
5618.5,8.7532,65.3656,2.1852,0.3465,-999.25,98.0628
5619,8.7529,66.3653,2.1459,0.3452,-999.25,97.9448
5619.5,8.8332,70.9348,2.2318,0.34,-999.25,97.5016
5620,8.815,78.7413,2.328,0.3478,-999.25,98.1749
5620.5,8.9947,89.5376,2.3571,0.3973,-999.25,102.4589
5621,9.1457,95.6895,2.3614,0.4375,-999.25,105.9424
5621.5,9.1435,100.8525,2.3776,0.4215,-999.25,104.5604
5622,9.1438,103.3441,2.3986,0.4216,-999.25,104.5633
5622.5,9.1438,102.2452,2.3963,0.4278,-999.25,105.0995
5623,9.144,101.1737,2.3866,0.4319,-999.25,105.4536
5623.5,9.1573,100.3705,2.3763,0.4289,-999.25,105.1958
5624,9.2494,102.0145,2.3812,0.4281,-999.25,105.1298
5624.5,9.3742,99.5434,2.3892,0.4316,-999.25,105.4348
5625,9.4309,100.2777,2.3851,0.44,-999.25,106.1556
5625.5,9.5225,98.3818,2.3504,0.4487,-999.25,106.9081
5626,9.451,95.7285,2.3668,0.4608,-999.25,107.9589
5626.5,9.5833,95.5995,2.3563,0.4831,-999.25,109.8953
5627,9.6336,85.8989,2.3277,0.5252,-999.25,113.5356
5627.5,9.6316,87.0016,2.3296,0.5443,-999.25,115.1889
5628,9.6299,86.4132,2.3338,0.5515,-999.25,115.8155
5628.5,9.7184,79.8176,2.3253,0.549,-999.25,115.5999
5629,9.878,77.4383,2.2914,0.5517,-999.25,115.8308
5629.5,10.0192,78.567,2.2792,0.5627,-999.25,116.7842
5630,11.2016,85.1646,2.3129,0.5493,-999.25,115.6243
5630.5,9.7728,83.1478,2.2725,0.5047,-999.25,111.7574
5631,9.8138,83.7119,2.2726,0.5096,-999.25,112.1825
5631.5,9.5793,86.8808,2.3414,0.4675,-999.25,108.538
5632,10.1049,92.398,2.378,0.4612,-999.25,107.9902
5632.5,9.7826,90.9024,2.3712,0.4291,-999.25,105.2153
5633,9.5993,89.8842,2.3498,0.4545,-999.25,107.4167
5633.5,9.4456,89.2547,2.3173,0.4883,-999.25,110.3435
5634,9.5848,86.8365,2.2954,0.5134,-999.25,112.5145
5634.5,9.3855,86.4929,2.2959,0.5095,-999.25,112.1791
5635,9.7723,87.716,2.2967,0.4943,-999.25,110.8605
5635.5,9.5003,91.2375,2.3012,0.4924,-999.25,110.6943
5636,9.2334,92.1631,2.3043,0.4837,-999.25,109.9401
5636.5,9.3437,91.3561,2.3108,0.4742,-999.25,109.1231
5637,9.2365,88.4018,2.3199,0.4782,-999.25,109.4647
5637.5,9.2415,90.34,2.3143,0.4768,-999.25,109.3471
5638,9.2704,89.576,2.2978,0.4654,-999.25,108.3602
5638.5,9.3785,95.4312,2.2846,0.4373,-999.25,105.9228
5639,9.7572,94.9179,2.2591,0.4085,-999.25,103.4304
5639.5,9.6195,89.6218,2.2718,0.4124,-999.25,103.7708
5640,9.7312,87.7113,2.2694,0.4123,-999.25,103.7558
5640.5,9.7276,87.4939,2.2406,0.4059,-999.25,103.2073
5641,9.7971,84.1723,2.1978,0.396,-999.25,102.3514
5641.5,9.9127,84.489,2.2571,0.3751,-999.25,100.5353
5642,10.101,88.9472,2.3718,0.3651,-999.25,99.6749
5642.5,10.1665,88.7106,2.3967,0.3746,-999.25,100.4963
5643,10.3468,87.4189,2.3719,0.3954,-999.25,102.2944
5643.5,10.3252,91.7496,2.3322,0.3946,-999.25,102.2228
5644,9.8495,88.6458,2.2876,0.4071,-999.25,103.3068
5644.5,9.6228,78.426,2.2809,0.4343,-999.25,105.6681
5645,10.0978,75.3202,2.2645,0.4995,-999.25,111.3084
5645.5,10.0001,76.9267,2.3166,0.5289,-999.25,113.8577
5646,9.9232,83.1437,2.3507,0.5319,-999.25,114.1153
5646.5,9.9133,86.1783,2.3699,0.5268,-999.25,113.6743
5647,11.0299,88.4725,2.3633,0.4845,-999.25,110.0144
5647.5,10.7934,94.0441,2.3385,0.4382,-999.25,105.9989
5648,10.0323,96.1419,2.3461,0.4394,-999.25,106.1054
5648.5,9.6016,98.428,2.3609,0.4385,-999.25,106.0274
5649,9.5323,98.325,2.355,0.4457,-999.25,106.6553
5649.5,9.5269,98.1912,2.3225,0.425,-999.25,104.8625
5650,9.4359,97.4238,2.3018,0.4123,-999.25,103.7553
5650.5,9.4366,98.3907,2.3179,0.4154,-999.25,104.0249
5651,9.4366,101.7455,2.3338,0.4199,-999.25,104.4183
5651.5,9.4372,105.069,2.3238,0.4245,-999.25,104.8186
5652,9.4054,100.3788,2.2363,0.4179,-999.25,104.2424
5652.5,9.3374,90.2944,2.2388,0.3971,-999.25,102.4465
5653,9.3387,90.3283,2.2511,0.372,-999.25,100.2655
5653.5,9.3411,92.9283,2.3021,0.379,-999.25,100.8768
5654,9.2812,93.2655,2.2998,0.4037,-999.25,103.0143
5654.5,9.2401,92.766,2.2831,0.4001,-999.25,102.7058
5655,9.2416,92.2773,2.2944,0.3966,-999.25,102.4041
5655.5,9.2414,89.6469,2.3236,0.3994,-999.25,102.6466
5656,9.2414,85.7603,2.3117,0.3898,-999.25,101.8087
5656.5,9.2411,84.2222,2.2597,0.3898,-999.25,101.8132
5657,9.2427,77.958,2.2222,0.3732,-999.25,100.3727
5657.5,9.2272,79.558,2.2683,0.3791,-999.25,100.8804
5658,9.3416,86.8458,2.3112,0.4293,-999.25,105.236
5658.5,9.3559,91.3646,2.3232,0.4284,-999.25,105.1555
5659,9.5032,90.2652,2.363,0.409,-999.25,103.4752
5659.5,9.5765,91.0107,2.3896,0.3968,-999.25,102.4209
5660,9.5215,88.8831,2.3967,0.3927,-999.25,102.065
5660.5,9.5353,91.7047,2.3952,0.3841,-999.25,101.3141
5661,9.5342,93.8262,2.3775,0.3719,-999.25,100.2644
5661.5,9.5352,93.1047,2.3713,0.3934,-999.25,102.1255
5662,9.5042,95.1425,2.3691,0.4141,-999.25,103.918
5662.5,9.5076,100.559,2.3597,0.4335,-999.25,105.5921
5663,9.4349,102.0423,2.3558,0.4454,-999.25,106.6283
5663.5,9.4363,101.5816,2.3602,0.4417,-999.25,106.3067
5664,9.4177,102.7102,2.3547,0.4482,-999.25,106.8674
5664.5,9.3371,103.5421,2.3474,0.442,-999.25,106.3313
5665,9.339,96.8155,2.3497,0.4196,-999.25,104.3905
5665.5,9.339,79.6157,2.3423,0.4032,-999.25,102.9734
5666,9.3349,66.8938,2.3078,0.3776,-999.25,100.7564
5666.5,9.2389,67.5651,2.2397,0.336,-999.25,97.1484
5667,9.2478,75.753,2.2577,0.3417,-999.25,97.6471
5667.5,9.321,87.942,2.3406,0.3698,-999.25,100.0776
5668,9.4331,97.5422,2.3982,0.4027,-999.25,102.9282
5668.5,9.5362,96.7152,2.3904,0.4293,-999.25,105.2325
