depth,cali,gr,density,nphi,res
5076,12.12,76.062,2.269,0.449,1.321
5076.5,12.1,75.075,2.273,0.455,1.304
5077,12.092,78.659,2.276,0.439,1.296
5077.5,12.106,76.95,2.267,0.419,1.296
5078,12.125,75.836,2.259,0.416,1.296
5078.5,12.109,71.748,2.244,0.416,1.295
5079,12.143,72.555,2.246,0.429,1.301
5079.5,12.169,73.003,2.255,0.429,1.311
5080,12.164,73.368,2.265,0.427,1.3
5080.5,12.161,72.343,2.269,0.436,1.289
5081,12.174,71.06,2.271,0.427,1.285
5081.5,12.166,71.201,2.277,0.44,1.284
5082,12.17,74.871,2.277,0.438,1.284
5082.5,12.168,79.469,2.279,0.465,1.279
5083,12.167,77.175,2.272,0.482,1.278
5083.5,12.166,75.714,2.267,0.457,1.279
5084,12.164,75.445,2.259,0.428,1.283
5084.5,12.174,77.56,2.256,0.386,1.296
5085,12.166,75.193,2.265,0.389,1.317
5085.5,12.167,68.474,2.27,0.374,1.333
5086,12.17,67.436,2.265,0.391,1.339
5086.5,12.168,70.101,2.263,0.409,1.339
5087,12.165,75.338,2.265,0.435,1.343
5087.5,12.164,79.153,2.271,0.436,1.348
5088,12.177,76.914,2.274,0.426,1.335
5088.5,12.189,75.203,2.277,0.44,1.313
5089,12.204,71.978,2.28,0.458,1.295
5089.5,12.196,72.499,2.28,0.49,1.288
5090,12.23,72.377,2.272,0.474,1.286
5090.5,12.209,71.697,2.271,0.464,1.286
5091,12.195,75.028,2.27,0.416,1.296
5091.5,12.175,76.192,2.27,0.415,1.306
5092,12.191,76.872,2.261,0.416,1.308
5092.5,12.18,73.109,2.262,0.441,1.305
5093,12.184,71.535,2.266,0.441,1.303
5093.5,12.189,72.789,2.264,0.444,1.308
5094,12.18,73.41,2.255,0.449,1.311
5094.5,12.191,76.15,2.262,0.47,1.31
5095,12.14,73.91,2.266,0.478,1.316
5095.5,12.161,73.238,2.265,0.504,1.32
5096,12.169,70.329,2.263,0.475,1.319
5096.5,12.145,69.523,2.266,0.459,1.309
5097,12.109,71.187,2.287,0.431,1.309
5097.5,12.059,71.229,2.296,0.45,1.313
5098,12.104,74.813,2.289,0.433,1.311
5098.5,12.168,73.915,2.277,0.406,1.301
5099,12.167,77.272,2.28,0.403,1.28
5099.5,12.164,78.258,2.277,0.431,1.259
5100,12.177,78.637,2.259,0.45,1.245
5100.5,12.17,74.804,2.259,0.448,1.225
5101,12.14,67.652,2.248,0.437,1.208
5101.5,12.104,61.018,2.208,0.412,1.166
5102,12.046,54.084,2.118,0.38,1.108
5102.5,12.023,52.586,2.088,0.349,1.085
5103,12.14,55.113,2.129,0.353,1.071
5103.5,12.303,62.273,2.228,0.382,1.041
5104,12.307,65.368,2.291,0.389,0.981
5104.5,12.306,60.074,2.298,0.428,0.925
5105,12.189,50.57,2.263,0.439,0.88
5105.5,12.088,40.537,2.157,0.419,0.858
5106,12.113,35.952,2.066,0.36,0.853
5106.5,12.253,34.786,2.001,0.307,0.864
5107,12.404,38.202,1.997,0.329,0.876
5107.5,12.511,44.046,2.013,0.338,0.888
5108,12.606,54.607,2.079,0.384,0.91
5108.5,12.475,65.027,2.171,0.413,0.972
5109,12.308,71.37,2.262,0.429,1.101
5109.5,12.248,70.761,2.281,0.42,1.225
5110,12.212,69.377,2.268,0.413,1.307
5110.5,12.241,69.851,2.266,0.435,1.365
5111,12.248,71.017,2.261,0.436,1.391
5111.5,12.265,70.785,2.256,0.429,1.382
5112,12.271,72.918,2.251,0.444,1.385
5112.5,12.285,72.398,2.262,0.429,1.398
5113,12.269,73.456,2.274,0.429,1.421
5113.5,12.28,71.162,2.283,0.393,1.446
5114,12.275,76.434,2.294,0.393,1.466
5114.5,12.282,76.183,2.291,0.4,1.488
5115,12.274,77.739,2.292,0.402,1.518
5115.5,12.278,75.518,2.276,0.406,1.532
5116,12.278,75.481,2.286,0.384,1.528
5116.5,12.331,71.825,2.284,0.404,1.521
5117,12.347,72.29,2.283,0.41,1.511
5117.5,12.372,73.833,2.275,0.415,1.495
5118,12.386,75.985,2.271,0.411,1.475
5118.5,12.384,74.045,2.262,0.42,1.459
5119,12.379,73.371,2.259,0.433,1.447
5119.5,12.386,73.749,2.251,0.411,1.421
5120,12.393,74.376,2.258,0.412,1.406
5120.5,12.39,73.168,2.258,0.407,1.402
5121,12.381,73.634,2.258,0.435,1.4
5121.5,12.376,71.431,2.256,0.439,1.404
5122,12.354,72.846,2.271,0.45,1.413
5122.5,12.319,71.284,2.272,0.463,1.438
5123,12.317,73.776,2.278,0.497,1.456
5123.5,12.265,73.507,2.265,0.471,1.456
5124,12.192,72.162,2.25,0.42,1.452
5124.5,12.186,69.969,2.231,0.358,1.453
5125,12.18,69.72,2.23,0.389,1.462
5125.5,12.177,73.734,2.241,0.425,1.467
5126,12.26,75.658,2.259,0.449,1.461
5126.5,12.39,75.781,2.266,0.439,1.442
5127,12.393,75.084,2.268,0.425,1.413
5127.5,12.386,72.824,2.268,0.403,1.393
5128,12.379,75.191,2.268,0.386,1.377
5128.5,12.39,71.943,2.27,0.397,1.368
5129,12.383,77.564,2.257,0.433,1.361
5129.5,12.39,77.068,2.253,0.442,1.355
5130,12.371,80.137,2.25,0.425,1.354
5130.5,12.356,78.59,2.251,0.398,1.357
5131,12.322,78.305,2.259,0.403,1.366
5131.5,12.329,77.428,2.268,0.408,1.375
5132,12.333,77.475,2.278,0.44,1.379
5132.5,12.324,77.58,2.27,0.431,1.369
5133,12.335,77.561,2.273,0.452,1.363
5133.5,12.32,74.343,2.263,0.456,1.357
5134,12.322,72.619,2.261,0.462,1.344
5134.5,12.333,72.997,2.259,0.446,1.323
5135,12.317,75.946,2.258,0.419,1.313
5135.5,12.294,78.008,2.254,0.428,1.312
5136,12.262,81.701,2.243,0.43,1.319
5136.5,12.204,80.218,2.247,0.432,1.329
5137,12.189,76.631,2.253,0.438,1.348
5137.5,12.177,74.077,2.261,0.428,1.385
5138,12.147,71.009,2.247,0.421,1.418
5138.5,12.143,72.822,2.241,0.404,1.434
5139,12.152,71.824,2.239,0.409,1.449
5139.5,12.165,72.899,2.246,0.42,1.458
5140,12.218,73.4,2.256,0.435,1.457
5140.5,12.238,68.863,2.266,0.433,1.451
5141,12.221,69.939,2.259,0.399,1.435
5141.5,12.167,68.145,2.239,0.37,1.414
5142,12.164,74.364,2.225,0.368,1.392
5142.5,12.245,75.868,2.238,0.384,1.378
5143,12.386,77.879,2.257,0.419,1.356
5143.5,12.388,76.216,2.271,0.426,1.323
5144,12.386,75.719,2.277,0.45,1.307
5144.5,12.464,75.589,2.272,0.449,1.306
5145,12.485,76.61,2.27,0.474,1.311
5145.5,12.505,73.632,2.269,0.465,1.31
5146,12.503,74.369,2.266,0.445,1.308
5146.5,12.517,72.644,2.275,0.425,1.308
5147,12.521,75.314,2.274,0.427,1.322
5147.5,12.533,75.672,2.281,0.434,1.34
5148,12.535,74.941,2.274,0.433,1.344
5148.5,12.533,73.437,2.273,0.427,1.338
5149,12.537,70.552,2.275,0.422,1.33
5149.5,12.557,72.683,2.274,0.428,1.333
5150,12.581,75.753,2.277,0.464,1.337
5150.5,12.572,78.348,2.271,0.482,1.334
5151,12.562,78.906,2.266,0.462,1.327
5151.5,12.565,76.851,2.263,0.448,1.319
5152,12.601,74.989,2.26,0.45,1.309
5152.5,12.602,72.748,2.262,0.458,1.298
5153,12.613,76.911,2.255,0.453,1.285
5153.5,12.599,77.987,2.248,0.439,1.279
5154,12.617,80.731,2.248,0.454,1.279
5154.5,12.663,76.341,2.253,0.495,1.278
5155,12.689,75.265,2.258,0.543,1.28
5155.5,12.542,75.054,2.252,0.541,1.282
5156,12.489,72.277,2.26,0.489,1.29
5156.5,12.544,72.206,2.272,0.425,1.3
5157,12.567,70.82,2.286,0.419,1.31
5157.5,12.481,74.244,2.29,0.441,1.321
5158,12.452,74.81,2.282,0.485,1.328
5158.5,12.466,75.457,2.274,0.477,1.335
5159,12.415,74.452,2.266,0.458,1.337
5159.5,12.425,74.116,2.266,0.44,1.34
5160,12.413,71.526,2.256,0.438,1.346
5160.5,12.411,72.063,2.254,0.448,1.354
5161,12.393,72.172,2.248,0.436,1.359
5161.5,12.367,72.342,2.259,0.445,1.357
5162,12.343,73.975,2.265,0.428,1.358
5162.5,12.381,72.63,2.276,0.424,1.358
5163,12.4,76.306,2.274,0.396,1.352
5163.5,12.413,73.018,2.264,0.397,1.35
5164,12.422,77.164,2.252,0.436,1.351
5164.5,12.427,73.398,2.251,0.453,1.341
5165,12.416,74.785,2.26,0.45,1.316
5165.5,12.42,72.21,2.265,0.432,1.311
5166,12.422,73.305,2.268,0.457,1.305
5166.5,12.427,72.787,2.27,0.471,1.292
5167,12.416,75.855,2.267,0.477,1.272
5167.5,12.43,75.047,2.266,0.459,1.257
5168,12.443,74.956,2.26,0.478,1.25
5168.5,12.437,72.737,2.265,0.461,1.246
5169,12.441,73.506,2.263,0.483,1.24
5169.5,12.427,75.142,2.268,0.458,1.241
5170,12.44,72.968,2.264,0.485,1.244
5170.5,12.443,69.311,2.262,0.514,1.246
5171,12.43,66.602,2.262,0.499,1.249
5171.5,12.448,68.865,2.258,0.482,1.251
5172,12.432,71.465,2.262,0.43,1.247
5172.5,12.432,73.391,2.251,0.433,1.246
5173,12.441,74.377,2.257,0.436,1.248
5173.5,12.436,77.515,2.258,0.435,1.257
5174,12.434,78.178,2.276,0.446,1.262
5174.5,12.435,73.695,2.294,0.419,1.265
5175,12.436,71.345,2.297,0.429,1.267
5175.5,12.439,71.197,2.283,0.441,1.271
5176,12.434,73.368,2.26,0.45,1.277
5176.5,12.432,76.041,2.248,0.433,1.282
5177,12.436,79.226,2.243,0.428,1.285
5177.5,12.42,78.957,2.251,0.419,1.287
5178,12.427,75.747,2.258,0.439,1.285
5178.5,12.416,70.229,2.269,0.434,1.288
5179,12.403,69.582,2.259,0.459,1.308
5179.5,12.416,72.111,2.261,0.475,1.319
5180,12.429,74.872,2.262,0.479,1.323
5180.5,12.416,75.768,2.265,0.456,1.332
5181,12.43,75.947,2.262,0.425,1.345
5181.5,12.416,75.646,2.269,0.422,1.361
5182,12.427,75.717,2.271,0.436,1.375
5182.5,12.422,72.597,2.274,0.44,1.377
5183,12.423,70.307,2.265,0.412,1.378
5183.5,12.425,68.623,2.264,0.411,1.374
5184,12.416,69.054,2.263,0.398,1.37
5184.5,12.43,72.788,2.263,0.404,1.369
5185,12.409,72.633,2.263,0.383,1.369
5185.5,12.388,74.536,2.258,0.4,1.367
5186,12.383,74.446,2.257,0.401,1.368
5186.5,12.386,74.512,2.251,0.423,1.382
5187,12.388,74.671,2.261,0.434,1.388
5187.5,12.386,72.969,2.264,0.438,1.386
5188,12.379,72.09,2.275,0.435,1.382
5188.5,12.393,72.514,2.277,0.433,1.382
5189,12.378,72.374,2.277,0.45,1.38
5189.5,12.388,75.564,2.272,0.449,1.37
5190,12.377,74.403,2.273,0.428,1.369
5190.5,12.334,77.679,2.264,0.418,1.374
5191,12.335,79.56,2.264,0.404,1.379
5191.5,12.331,77.811,2.263,0.416,1.389
5192,12.331,77.273,2.27,0.424,1.402
5192.5,12.329,76.149,2.266,0.435,1.415
5193,12.331,75.229,2.27,0.418,1.433
5193.5,12.322,70.391,2.274,0.429,1.447
5194,12.31,68.79,2.277,0.421,1.447
5194.5,12.331,70.064,2.281,0.431,1.439
5195,12.324,72.144,2.274,0.41,1.425
5195.5,12.324,75.406,2.273,0.426,1.411
5196,12.326,75.316,2.273,0.408,1.397
5196.5,12.324,74.403,2.272,0.425,1.382
5197,12.336,74.156,2.27,0.453,1.359
5197.5,12.322,76.648,2.269,0.465,1.336
5198,12.322,79.106,2.268,0.462,1.325
5198.5,12.324,75.949,2.266,0.457,1.327
5199,12.308,79.11,2.267,0.484,1.331
5199.5,12.292,77.219,2.262,0.476,1.332
5200,12.294,80.376,2.255,0.444,1.341
5200.5,12.312,78.292,2.247,0.431,1.352
5201,12.315,80.99,2.261,0.453,1.36
5201.5,12.283,77.954,2.26,0.456,1.363
5202,12.319,74.547,2.264,0.452,1.364
5202.5,12.312,70.581,2.273,0.443,1.367
5203,12.317,66.175,2.276,0.447,1.369
5203.5,12.31,69.133,2.271,0.462,1.367
5204,12.312,70.747,2.266,0.431,1.361
5204.5,12.308,76.306,2.271,0.435,1.359
5205,12.312,75.498,2.278,0.402,1.353
5205.5,12.317,77.022,2.277,0.415,1.347
5206,12.31,74.601,2.271,0.393,1.341
5206.5,12.312,74.802,2.262,0.403,1.334
5207,12.315,74.464,2.258,0.394,1.33
5207.5,12.307,75.342,2.262,0.421,1.331
5208,12.292,73.457,2.261,0.425,1.326
5208.5,12.271,71.445,2.266,0.418,1.319
5209,12.274,73.327,2.264,0.423,1.31
5209.5,12.28,76.241,2.277,0.428,1.304
5210,12.271,75.901,2.289,0.458,1.306
5210.5,12.208,74.02,2.298,0.45,1.311
5211,12.182,71.804,2.29,0.445,1.322
5211.5,12.16,77.165,2.273,0.43,1.343
5212,12.182,74.421,2.274,0.432,1.362
5212.5,12.232,77.537,2.273,0.425,1.382
5213,12.344,72.158,2.287,0.421,1.408
5213.5,12.354,74.204,2.283,0.405,1.417
5214,12.349,73.398,2.283,0.396,1.428
5214.5,12.363,74.115,2.272,0.425,1.438
5215,12.379,74.186,2.282,0.418,1.439
5215.5,12.39,71.087,2.278,0.422,1.435
5216,12.379,70.37,2.278,0.416,1.426
5216.5,12.39,72.61,2.262,0.439,1.424
5217,12.383,72.395,2.265,0.457,1.421
5217.5,12.388,73.131,2.272,0.447,1.412
5218,12.388,70.82,2.287,0.42,1.405
5218.5,12.386,69.564,2.281,0.408,1.401
5219,12.386,69.564,2.272,0.397,1.398
5219.5,12.388,70.863,2.274,0.397,1.383
5220,12.377,72.475,2.281,0.42,1.369
5220.5,12.386,73.621,2.281,0.442,1.362
5221,12.386,72.95,2.272,0.458,1.356
5221.5,12.388,74.921,2.268,0.486,1.347
5222,12.377,73.878,2.271,0.498,1.337
5222.5,12.354,74.755,2.279,0.485,1.328
5223,12.351,72.553,2.285,0.449,1.313
5223.5,12.36,73.709,2.289,0.437,1.306
5224,12.317,73.619,2.287,0.459,1.305
5224.5,12.308,75.394,2.281,0.464,1.303
5225,12.321,75.679,2.264,0.453,1.301
5225.5,12.306,73.44,2.262,0.464,1.298
5226,12.306,70.302,2.259,0.471,1.297
5226.5,12.269,73.891,2.258,0.485,1.291
5227,12.285,73.264,2.258,0.491,1.284
5227.5,12.271,73.934,2.249,0.465,1.275
5228,12.278,70.235,2.258,0.44,1.27
5228.5,12.275,71.597,2.262,0.416,1.249
5229,12.287,75.289,2.271,0.436,1.224
5229.5,12.269,72.761,2.275,0.485,1.193
5230,12.196,73.836,2.279,0.483,1.153
5230.5,11.961,69.312,2.273,0.457,1.105
5231,12.154,62.964,2.227,0.384,1.048
5231.5,12.062,53.807,2.133,0.362,0.976
5232,11.956,45.646,2.034,0.338,0.897
5232.5,11.92,42.429,1.967,0.36,0.846
5233,12.007,40.19,1.963,0.362,0.808
5233.5,12.067,40.713,1.986,0.367,0.775
5234,12.109,39.66,2.013,0.358,0.743
5234.5,12.089,39.052,2.029,0.348,0.715
5235,12.101,37.608,2.05,0.345,0.702
5235.5,12.117,37.305,2.073,0.339,0.7
5236,12.109,38.022,2.088,0.343,0.701
5236.5,12.108,39.198,2.104,0.342,0.703
5237,12.117,40.069,2.094,0.323,0.704
5237.5,12.008,38.445,2.082,0.313,0.702
5238,11.921,38.636,2.078,0.326,0.7
5238.5,11.902,41.205,2.085,0.357,0.699
5239,11.787,43.615,2.081,0.343,0.7
5239.5,11.779,43.145,2.05,0.344,0.702
5240,11.758,39.803,2.02,0.324,0.703
5240.5,11.77,39.893,2.02,0.339,0.706
5241,11.785,41.907,2.048,0.337,0.712
5241.5,11.785,43.858,2.096,0.341,0.716
5242,11.772,45.842,2.105,0.338,0.718
5242.5,11.799,47.335,2.091,0.319,0.718
5243,11.849,48.604,2.076,0.336,0.717
5243.5,11.857,51.473,2.08,0.347,0.713
5244,11.945,55.598,2.063,0.373,0.711
5244.5,12.04,60.347,2.034,0.407,0.713
5245,11.985,63.289,2.008,0.433,0.725
5245.5,11.998,63.199,2.005,0.437,0.75
5246,12.051,63.652,2.006,0.407,0.769
5246.5,12.015,64.297,2.044,0.373,0.789
5247,12.175,67.147,2.116,0.352,0.831
5247.5,12.441,71.465,2.19,0.348,0.903
5248,12.496,73.635,2.23,0.374,1
5248.5,12.498,72.829,2.228,0.38,1.125
5249,12.485,70.926,2.245,0.423,1.202
5249.5,12.636,67.322,2.257,0.423,1.249
5250,12.716,67.322,2.257,0.422,1.288
5250.5,12.712,64.991,2.234,0.39,1.314
5251,12.693,68.69,2.229,0.364,1.323
5251.5,12.617,68.708,2.231,0.382,1.325
5252,12.061,74.694,2.242,0.377,1.317
5252.5,11.955,75.706,2.243,0.387,1.299
5253,11.954,74.2,2.247,0.38,1.291
5253.5,12.006,71.744,2.219,0.381,1.283
5254,12.051,69.524,2.203,0.392,1.277
5254.5,12.199,73.004,2.202,0.389,1.272
