depth,cali,gr,density,nphi,res,sonic
812,-999.25,51.744,-999.25,-999.25,-999.25,-999.25
812.5,-999.25,52.136,-999.25,-999.25,-999.25,-999.25
813,-999.25,52.528,-999.25,-999.25,-999.25,-999.25
813.5,-999.25,52.92,-999.25,-999.25,-999.25,-999.25
814,-999.25,53.312,-999.25,-999.25,-999.25,-999.25
814.5,-999.25,53.312,-999.25,-999.25,-999.25,-999.25
815,-999.25,53.312,-999.25,-999.25,-999.25,-999.25
815.5,-999.25,53.312,-999.25,-999.25,-999.25,-999.25
816,-999.25,53.312,-999.25,-999.25,-999.25,-999.25
816.5,-999.25,53.312,-999.25,-999.25,-999.25,-999.25
817,-999.25,53.312,-999.25,-999.25,-999.25,-999.25
817.5,-999.25,51.352,-999.25,-999.25,-999.25,-999.25
818,-999.25,49.392,-999.25,-999.25,-999.25,-999.25
818.5,-999.25,47.432,-999.25,-999.25,-999.25,-999.25
819,-999.25,45.472,-999.25,-999.25,-999.25,-999.25
819.5,-999.25,44.9493,-999.25,-999.25,-999.25,-999.25
820,-999.25,44.4267,-999.25,-999.25,-999.25,-999.25
820.5,-999.25,43.904,-999.25,-999.25,-999.25,-999.25
821,-999.25,43.3813,-999.25,-999.25,-999.25,-999.25
821.5,-999.25,42.8587,-999.25,-999.25,-999.25,-999.25
822,-999.25,42.336,-999.25,-999.25,-999.25,-999.25
822.5,-999.25,44.4267,-999.25,-999.25,-999.25,-999.25
823,-999.25,46.5173,-999.25,-999.25,-999.25,-999.25
823.5,-999.25,48.608,-999.25,-999.25,-999.25,-999.25
824,-999.25,50.6987,-999.25,-999.25,-999.25,-999.25
824.5,-999.25,52.7893,-999.25,-999.25,-999.25,-999.25
825,-999.25,54.88,-999.25,-999.25,-999.25,-999.25
825.5,-999.25,55.272,-999.25,-999.25,-999.25,-999.25
826,-999.25,55.664,-999.25,-999.25,-999.25,-999.25
826.5,-999.25,56.056,-999.25,-999.25,-999.25,-999.25
827,-999.25,56.448,-999.25,-999.25,-999.25,-999.25
827.5,-999.25,56.84,-999.25,-999.25,-999.25,-999.25
828,-999.25,57.232,-999.25,-999.25,-999.25,-999.25
828.5,-999.25,57.624,-999.25,-999.25,-999.25,-999.25
829,-999.25,58.016,-999.25,-999.25,-999.25,-999.25
829.5,-999.25,59.0613,-999.25,-999.25,-999.25,-999.25
830,-999.25,60.1067,-999.25,-999.25,-999.25,-999.25
830.5,-999.25,61.152,-999.25,-999.25,-999.25,-999.25
831,-999.25,62.1973,-999.25,-999.25,-999.25,-999.25
831.5,-999.25,63.2427,-999.25,-999.25,-999.25,-999.25
832,-999.25,64.288,-999.25,-999.25,-999.25,-999.25
832.5,-999.25,62.72,-999.25,-999.25,-999.25,-999.25
833,-999.25,61.152,-999.25,-999.25,-999.25,-999.25
833.5,-999.25,59.584,-999.25,-999.25,-999.25,-999.25
834,-999.25,58.016,-999.25,-999.25,-999.25,-999.25
834.5,-999.25,56.448,-999.25,-999.25,-999.25,-999.25
835,-999.25,54.88,-999.25,-999.25,-999.25,-999.25
835.5,-999.25,53.312,-999.25,-999.25,-999.25,-999.25
836,-999.25,51.744,-999.25,-999.25,-999.25,-999.25
836.5,-999.25,51.352,-999.25,-999.25,-999.25,-999.25
837,-999.25,50.96,-999.25,-999.25,-999.25,-999.25
837.5,-999.25,50.568,-999.25,-999.25,-999.25,-999.25
838,-999.25,50.176,-999.25,-999.25,-999.25,-999.25
838.5,-999.25,49.784,-999.25,-999.25,-999.25,-999.25
839,-999.25,49.392,-999.25,-999.25,-999.25,-999.25
839.5,-999.25,49,-999.25,-999.25,-999.25,-999.25
840,-999.25,48.608,-999.25,-999.25,-999.25,-999.25
840.5,-999.25,49.6533,-999.25,-999.25,-999.25,-999.25
841,-999.25,50.6987,-999.25,-999.25,-999.25,-999.25
841.5,-999.25,51.744,-999.25,-999.25,-999.25,-999.25
842,-999.25,52.7893,-999.25,-999.25,-999.25,-999.25
842.5,-999.25,53.8347,-999.25,-999.25,-999.25,-999.25
843,-999.25,54.88,-999.25,-999.25,-999.25,-999.25
843.5,-999.25,53.0507,-999.25,-999.25,-999.25,-999.25
844,-999.25,51.2213,-999.25,-999.25,-999.25,-999.25
844.5,-999.25,49.392,-999.25,-999.25,-999.25,-999.25
845,-999.25,47.5627,-999.25,-999.25,-999.25,-999.25
845.5,-999.25,45.7333,-999.25,-999.25,-999.25,-999.25
846,-999.25,43.904,-999.25,-999.25,-999.25,-999.25
846.5,-999.25,44.296,-999.25,-999.25,-999.25,-999.25
847,-999.25,44.688,-999.25,-999.25,-999.25,-999.25
847.5,-999.25,45.08,-999.25,-999.25,-999.25,-999.25
848,-999.25,45.472,-999.25,-999.25,-999.25,-999.25
848.5,-999.25,45.864,-999.25,-999.25,-999.25,-999.25
849,-999.25,46.256,-999.25,-999.25,-999.25,-999.25
849.5,-999.25,46.648,-999.25,-999.25,-999.25,-999.25
850,-999.25,47.04,-999.25,-999.25,-999.25,-999.25
850.5,-999.25,47.628,-999.25,-999.25,-999.25,-999.25
851,-999.25,48.216,-999.25,-999.25,-999.25,-999.25
851.5,-999.25,48.804,-999.25,-999.25,-999.25,-999.25
852,-999.25,49.392,-999.25,-999.25,-999.25,-999.25
852.5,-999.25,49.98,-999.25,-999.25,-999.25,-999.25
853,-999.25,50.568,-999.25,-999.25,-999.25,-999.25
853.5,-999.25,51.156,-999.25,-999.25,-999.25,-999.25
854,-999.25,51.744,-999.25,-999.25,-999.25,-999.25
854.5,-999.25,52.528,-999.25,-999.25,-999.25,-999.25
855,-999.25,53.312,-999.25,-999.25,-999.25,-999.25
855.5,-999.25,54.096,-999.25,-999.25,-999.25,-999.25
856,-999.25,54.88,-999.25,-999.25,-999.25,-999.25
856.5,-999.25,55.664,-999.25,-999.25,-999.25,-999.25
857,-999.25,56.448,-999.25,-999.25,-999.25,-999.25
857.5,-999.25,56.1867,-999.25,-999.25,-999.25,-999.25
858,-999.25,55.9253,-999.25,-999.25,-999.25,-999.25
858.5,-999.25,55.664,-999.25,-999.25,-999.25,-999.25
859,-999.25,55.4027,-999.25,-999.25,-999.25,-999.25
859.5,-999.25,55.1413,-999.25,-999.25,-999.25,-999.25
860,-999.25,54.88,-999.25,-999.25,-999.25,-999.25
860.5,-999.25,53.8347,-999.25,-999.25,-999.25,-999.25
861,-999.25,52.7893,-999.25,-999.25,-999.25,-999.25
861.5,-999.25,51.744,-999.25,-999.25,-999.25,-999.25
862,-999.25,50.6987,-999.25,-999.25,-999.25,-999.25
862.5,-999.25,49.6533,-999.25,-999.25,-999.25,-999.25
863,-999.25,48.608,-999.25,-999.25,-999.25,-999.25
863.5,-999.25,48.412,-999.25,-999.25,-999.25,-999.25
864,-999.25,48.216,-999.25,-999.25,-999.25,-999.25
864.5,-999.25,48.02,-999.25,-999.25,-999.25,-999.25
865,-999.25,47.824,-999.25,-999.25,-999.25,-999.25
865.5,-999.25,47.628,-999.25,-999.25,-999.25,-999.25
866,-999.25,47.432,-999.25,-999.25,-999.25,-999.25
866.5,-999.25,47.236,-999.25,-999.25,-999.25,-999.25
867,-999.25,47.04,-999.25,-999.25,-999.25,-999.25
867.5,-999.25,45.7856,-999.25,-999.25,-999.25,-999.25
868,-999.25,44.5312,-999.25,-999.25,-999.25,-999.25
868.5,-999.25,43.2768,-999.25,-999.25,-999.25,-999.25
869,-999.25,42.0224,-999.25,-999.25,-999.25,-999.25
869.5,-999.25,40.768,-999.25,-999.25,-999.25,-999.25
870,-999.25,39.5136,-999.25,-999.25,-999.25,-999.25
870.5,-999.25,38.2592,-999.25,-999.25,-999.25,-999.25
871,-999.25,37.0048,-999.25,-999.25,-999.25,-999.25
871.5,-999.25,35.7504,-999.25,-999.25,-999.25,-999.25
872,-999.25,34.496,-999.25,-999.25,-999.25,-999.25
872.5,-999.25,33.712,-999.25,-999.25,-999.25,-999.25
873,-999.25,32.928,-999.25,-999.25,-999.25,-999.25
873.5,-999.25,33.1893,-999.25,-999.25,-999.25,-999.25
874,-999.25,33.4507,-999.25,-999.25,-999.25,-999.25
874.5,-999.25,33.712,-999.25,-999.25,-999.25,-999.25
875,-999.25,33.9733,-999.25,-999.25,-999.25,-999.25
875.5,-999.25,34.2347,-999.25,-999.25,-999.25,-999.25
876,-999.25,34.496,-999.25,-999.25,-999.25,-999.25
876.5,-999.25,34.7573,-999.25,-999.25,-999.25,-999.25
877,-999.25,35.0187,-999.25,-999.25,-999.25,-999.25
877.5,-999.25,35.28,-999.25,-999.25,-999.25,-999.25
878,-999.25,35.5413,-999.25,-999.25,-999.25,-999.25
878.5,-999.25,35.8027,-999.25,-999.25,-999.25,-999.25
879,-999.25,36.064,-999.25,-999.25,-999.25,-999.25
879.5,-999.25,35.28,-999.25,-999.25,-999.25,-999.25
880,-999.25,34.496,-999.25,-999.25,-999.25,-999.25
880.5,-999.25,33.712,-999.25,-999.25,-999.25,-999.25
881,-999.25,32.928,-999.25,-999.25,-999.25,-999.25
881.5,-999.25,32.144,-999.25,-999.25,-999.25,-999.25
882,-999.25,31.36,-999.25,-999.25,-999.25,-999.25
882.5,-999.25,31.4384,-999.25,-999.25,-999.25,-999.25
883,-999.25,31.5168,-999.25,-999.25,-999.25,-999.25
883.5,-999.25,31.5952,-999.25,-999.25,-999.25,-999.25
884,-999.25,31.6736,-999.25,-999.25,-999.25,-999.25
884.5,-999.25,31.752,-999.25,-999.25,-999.25,-999.25
885,-999.25,31.8304,-999.25,-999.25,-999.25,-999.25
885.5,-999.25,31.9088,-999.25,-999.25,-999.25,-999.25
886,-999.25,31.9872,-999.25,-999.25,-999.25,-999.25
886.5,-999.25,32.0656,-999.25,-999.25,-999.25,-999.25
887,-999.25,32.144,-999.25,-999.25,-999.25,-999.25
887.5,-999.25,32.2224,-999.25,-999.25,-999.25,-999.25
888,-999.25,32.3008,-999.25,-999.25,-999.25,-999.25
888.5,-999.25,32.3792,-999.25,-999.25,-999.25,-999.25
889,-999.25,32.4576,-999.25,-999.25,-999.25,-999.25
889.5,-999.25,32.536,-999.25,-999.25,-999.25,-999.25
890,-999.25,32.6144,-999.25,-999.25,-999.25,-999.25
890.5,-999.25,32.6928,-999.25,-999.25,-999.25,-999.25
891,-999.25,32.7712,-999.25,-999.25,-999.25,-999.25
891.5,-999.25,32.8496,-999.25,-999.25,-999.25,-999.25
892,-999.25,32.928,-999.25,-999.25,-999.25,-999.25
892.5,-999.25,33.1893,-999.25,-999.25,-999.25,-999.25
893,-999.25,33.4507,-999.25,-999.25,-999.25,-999.25
893.5,-999.25,33.712,-999.25,-999.25,-999.25,-999.25
894,-999.25,33.9733,-999.25,-999.25,-999.25,-999.25
894.5,-999.25,34.2347,-999.25,-999.25,-999.25,-999.25
895,-999.25,34.496,-999.25,-999.25,-999.25,-999.25
895.5,-999.25,34.496,-999.25,-999.25,-999.25,-999.25
896,-999.25,34.496,-999.25,-999.25,-999.25,-999.25
896.5,-999.25,34.496,-999.25,-999.25,-999.25,-999.25
897,-999.25,34.496,-999.25,-999.25,-999.25,-999.25
897.5,-999.25,34.1824,-999.25,-999.25,-999.25,-999.25
898,-999.25,33.8688,-999.25,-999.25,-999.25,-999.25
898.5,-999.25,33.5552,-999.25,-999.25,-999.25,-999.25
899,-999.25,33.2416,-999.25,-999.25,-999.25,-999.25
899.5,-999.25,32.928,-999.25,-999.25,-999.25,-999.25
900,-999.25,32.6144,-999.25,-999.25,-999.25,-999.25
900.5,-999.25,32.3008,-999.25,-999.25,-999.25,-999.25
901,-999.25,31.9872,-999.25,-999.25,-999.25,-999.25
901.5,-999.25,31.6736,-999.25,-999.25,-999.25,-999.25
902,-999.25,31.36,-999.25,-999.25,-999.25,-999.25
902.5,-999.25,32.732,-999.25,-999.25,-999.25,-999.25
903,-999.25,34.104,-999.25,-999.25,-999.25,-999.25
903.5,-999.25,35.476,-999.25,-999.25,-999.25,-999.25
904,-999.25,36.848,-999.25,-999.25,-999.25,-999.25
904.5,-999.25,38.22,-999.25,-999.25,-999.25,-999.25
905,-999.25,39.592,-999.25,-999.25,-999.25,-999.25
905.5,-999.25,40.964,-999.25,-999.25,-999.25,-999.25
906,-999.25,42.336,-999.25,-999.25,-999.25,-999.25
906.5,-999.25,41.2907,-999.25,-999.25,-999.25,-999.25
907,-999.25,40.2453,-999.25,-999.25,-999.25,-999.25
907.5,-999.25,39.2,-999.25,-999.25,-999.25,-999.25
908,-999.25,38.1547,-999.25,-999.25,-999.25,-999.25
908.5,-999.25,37.1093,-999.25,-999.25,-999.25,-999.25
909,-999.25,36.064,-999.25,-999.25,-999.25,-999.25
909.5,-999.25,35.28,-999.25,-999.25,-999.25,-999.25
910,-999.25,34.496,-999.25,-999.25,-999.25,-999.25
910.5,-999.25,33.712,-999.25,-999.25,-999.25,-999.25
911,-999.25,32.928,-999.25,-999.25,-999.25,-999.25
911.5,-999.25,32.144,-999.25,-999.25,-999.25,-999.25
912,-999.25,31.36,-999.25,-999.25,-999.25,-999.25
912.5,-999.25,31.5168,-999.25,-999.25,-999.25,-999.25
913,-999.25,31.6736,-999.25,-999.25,-999.25,-999.25
913.5,-999.25,31.8304,-999.25,-999.25,-999.25,-999.25
914,-999.25,31.9872,-999.25,-999.25,-999.25,-999.25
914.5,-999.25,32.144,-999.25,-999.25,-999.25,-999.25
915,-999.25,32.3008,-999.25,-999.25,-999.25,-999.25
915.5,-999.25,32.4576,-999.25,-999.25,-999.25,-999.25
916,-999.25,32.6144,-999.25,-999.25,-999.25,-999.25
916.5,-999.25,32.7712,-999.25,-999.25,-999.25,-999.25
917,-999.25,32.928,-999.25,-999.25,-999.25,-999.25
917.5,-999.25,32.34,-999.25,-999.25,-999.25,-999.25
918,-999.25,31.752,-999.25,-999.25,-999.25,-999.25
918.5,-999.25,31.164,-999.25,-999.25,-999.25,-999.25
919,-999.25,30.576,-999.25,-999.25,-999.25,-999.25
919.5,-999.25,29.988,-999.25,-999.25,-999.25,-999.25
920,-999.25,29.4,-999.25,-999.25,-999.25,-999.25
920.5,-999.25,28.812,-999.25,-999.25,-999.25,-999.25
921,-999.25,28.224,-999.25,-999.25,-999.25,-999.25
921.5,-999.25,29.5307,-999.25,-999.25,-999.25,-999.25
922,-999.25,30.8373,-999.25,-999.25,-999.25,-999.25
922.5,-999.25,32.144,-999.25,-999.25,-999.25,-999.25
923,-999.25,33.4507,-999.25,-999.25,-999.25,-999.25
923.5,-999.25,34.7573,-999.25,-999.25,-999.25,-999.25
924,-999.25,36.064,-999.25,-999.25,-999.25,-999.25
924.5,-999.25,36.3776,-999.25,-999.25,-999.25,-999.25
925,-999.25,36.6912,-999.25,-999.25,-999.25,-999.25
925.5,-999.25,37.0048,-999.25,-999.25,-999.25,-999.25
926,-999.25,37.3184,-999.25,-999.25,-999.25,-999.25
926.5,-999.25,37.632,-999.25,-999.25,-999.25,-999.25
927,-999.25,37.9456,-999.25,-999.25,-999.25,-999.25
927.5,-999.25,38.2592,-999.25,-999.25,-999.25,-999.25
