,Depth,Forest,Lasso,SGDRegressor,XGB,Original,Ols,Ridge
8675,9866.5,101.39036952454326,100.91292056709584,98.81313883420724,106.46144,121.7471,111.01768009943777,104.30167480376643
8676,9867.0,101.34658745182253,100.64826388981791,98.78241434478487,106.459496,122.13670000000005,110.91590724948742,104.25784722949939
8677,9867.5,101.39261334676415,100.2925935015872,98.64703334748484,106.46144,122.52789999999996,110.66609366823076,104.10045318168606
8678,9868.0,101.39036952454326,100.28953999129287,98.50686911868256,106.39685,122.4561,110.55115815951855,103.96409887422787
8679,9868.5,101.39036952454326,100.42842278106986,98.56394993198272,106.38092,122.37130000000003,110.63917255922132,104.02982670379512
8680,9869.0,101.4133217782794,100.7506629091678,98.64648366007334,106.04203,122.56900000000003,110.84922586061252,104.16930844075046
8681,9869.5,101.3936772006315,100.93898227494499,98.85063732869048,106.12863,122.76519999999994,111.22309086721329,104.42640708670712
8682,9870.0,101.37989552405527,101.17928226461073,98.79220981778445,106.510445,122.35940000000002,111.15094195117068,104.35743581151381
8683,9870.5,101.37543304822584,102.12375669749403,99.93316713364247,106.37852,121.88800000000003,112.44253723400065,105.53598989399288
8684,9871.0,101.36264292591147,103.34415220929789,100.81421204658224,106.45391,121.40900000000005,113.64556627618256,106.51094858213618
8685,9871.5,101.37874532760604,103.24402785024748,101.03626564662748,106.03233,120.71830000000004,113.49752106911308,106.6064076637209
8686,9872.0,101.36488614052095,102.62331825861989,100.4282857147115,106.48384,120.4127,112.59077790757509,105.89367869615491
8687,9872.5,101.36594970630408,102.6770643214989,100.59131498311075,106.1829,120.52470000000005,112.7711303063306,106.06723995603811
8688,9873.0,101.35015168382913,103.29143047659647,101.12771805086466,106.42589,120.36869999999996,113.54029794023928,106.66709971872534
8689,9873.5,101.36488614052095,104.5130638156918,102.21293132002397,106.48081,119.76599999999996,114.81338941702987,107.80642936816157
8690,9874.0,101.31887270907106,105.87071069314909,103.15579649320648,106.39034,119.27449999999999,116.15208005523067,108.8623748478458
8691,9874.5,101.34582700740351,106.77100405190839,103.67504573354972,106.055664,119.33859999999999,117.007815336039,109.49848695848412
8692,9875.0,101.30447191924169,106.6613951865238,103.49789255180417,106.20299,119.6174,116.96233441498501,109.36125926793056
8693,9875.5,101.36264292591147,106.10988000488634,103.20719202146047,106.38645,119.75429999999999,116.46160882037877,109.00945341423805
8694,9876.0,101.32511611961361,105.3454983481676,102.80257125627615,106.54782,119.68299999999998,115.75835720047766,108.50102726248822
8695,9876.5,101.36488614052095,104.86574861793115,102.3407486085167,106.59419,119.80419999999998,115.10655407097408,107.98936491575289
8696,9877.0,101.36488614052095,104.46140036497306,101.97378918163452,106.48081,120.18640000000005,114.73824554259751,107.62815257829384
8697,9877.5,101.38539821708478,103.3633066903173,101.01393794590248,106.023506,120.56579999999997,113.44896665433976,106.57804524607047
8698,9878.0,101.4275520024079,102.02815369085599,100.04633800605298,105.95984,120.81889999999999,112.03077593505114,105.47236093764575
8699,9878.5,101.41992386468146,101.54343788916282,99.65351224038349,106.331116,121.06100000000004,111.53572831181499,105.05156923313534
8700,9879.0,101.37784271335262,101.98460594395482,99.97402454148387,106.47502,121.01059999999994,112.09576490201549,105.43684095845093
8701,9879.5,101.35015168382913,102.67516720780311,100.43473043891332,106.51588,121.01790000000003,112.86070459805315,105.99232334356223
8702,9880.0,101.32759848950002,102.95535417302447,100.43166036694514,106.47754,121.28979999999996,113.12997265598864,106.07711345932303
8703,9880.5,101.33406599709042,102.02146642763776,99.60582184560498,106.41042,121.71880000000003,112.06658912020531,105.18890440908308
8704,9881.0,101.35278369400784,100.07624210587834,98.03280253832048,106.35313,121.88080000000004,109.83504169371871,103.40347180318957
8705,9881.5,101.30819069157613,98.4701242944285,96.86184126309554,106.05929,121.75889999999998,108.0213287338518,102.01976549345058
8706,9882.0,101.35278369400784,97.66445886542056,96.21878573912595,106.95115,121.58839999999996,106.98889872090419,101.2522292391003
8707,9882.5,101.35302324007685,97.40550291330307,96.20228643049704,107.068054,121.46879999999996,106.80066414503062,101.17817758646208
8708,9883.0,101.51210785235753,97.87428414278982,96.7956112554001,106.169304,121.3836,107.36095389565783,101.77824050625503
8709,9883.5,101.54665903938015,98.68225354302655,97.79375642581822,108.946106,121.2487,108.40586103638995,102.80884701047556
8710,9884.0,101.63740341844978,99.15837148077678,98.45695914037321,111.72081,120.91650000000003,108.9007514666003,103.43648322575145
8711,9884.5,101.63740341844978,99.60180819841227,98.76214382500314,110.43015,120.62229999999998,109.2090675816499,103.74695628997205
8712,9885.0,101.96191897573414,100.26304601696675,99.2348675889099,113.11823,120.79369999999997,109.9079433227264,104.30822946337915
